127.0.0.1 - - [20/Feb/2019:19:43:25 -0300] "GET / HTTP/1.1" 404 1036
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:23 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 59
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:23 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:24 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:24 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:24 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:26 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:44:30 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:45:02 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 80
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:45:27 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:45:29 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:49:04 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 10660
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:49:29 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:49:35 -0300] "GET /jsf-3bnoite/index.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [20/Feb/2019:19:49:35 -0300] "GET /favicon.ico HTTP/1.1" 404 1047
